../output/v46/reference vs ../output/v46/data/	0.07778	1.02190	0.07500	0.07778	0.07636	0.07365
../output/v22/reference vs ../output/v22/data/	0.22000	0.27333	0.50000	0.22000	0.30556	0.30389
../output/v27/reference vs ../output/v27/data/	0.19524	1.53036	0.13846	0.19524	0.16202	0.15278
../output/v55/reference vs ../output/v55/data/	0.53333	1.24667	0.33333	0.53333	0.41026	0.39917
../output/v31/reference vs ../output/v31/data/	0.14064	0.65822	0.17143	0.14064	0.15451	0.14830
../output/v62/reference vs ../output/v62/data/	0.06667	0.50000	0.10000	0.06667	0.08000	0.07909
../output/v29/reference vs ../output/v29/data/	0.11000	0.52333	0.25000	0.11000	0.15278	0.15027
../output/v23/reference vs ../output/v23/data/	0.04167	0.82333	0.05714	0.04167	0.04819	0.04360
../output/v49/reference vs ../output/v49/data/	0.00000	0.38926	0.00000	0.00000	-1.00000	-0.00200
../output/v32/reference vs ../output/v32/data/	0.26053	0.96402	0.24000	0.26053	0.24984	0.24124
../output/v57/reference vs ../output/v57/data/	0.19992	3.37913	0.05833	0.19992	0.09031	0.08683
../output/v24/reference vs ../output/v24/data/	0.34162	1.47818	0.20000	0.34162	0.25229	0.24211
../output/v56/reference vs ../output/v56/data/	0.05000	1.38111	0.05000	0.05000	0.05000	0.04715
../output/v65/reference vs ../output/v65/data/	0.32446	0.61115	0.34286	0.32446	0.33340	0.32894
../output/v28/reference vs ../output/v28/data/	0.12167	0.51392	0.21667	0.12167	0.15583	0.15189
../output/v37/reference vs ../output/v37/data/	1.00000	4.00000	0.20000	1.00000	0.33333	0.33301
../output/v36/reference vs ../output/v36/data/	0.29333	2.32000	0.11429	0.29333	0.16449	0.16267
../output/v43/reference vs ../output/v43/data/	0.01333	0.21315	0.06667	0.01333	0.02222	0.02122
../output/v64/reference vs ../output/v64/data/	0.32905	2.35786	0.13514	0.32905	0.19159	0.18839
../output/v66/reference vs ../output/v66/data/	0.00000	0.26667	0.00000	0.00000	-1.00000	-0.00145
../output/v41/reference vs ../output/v41/data/	0.18303	1.35515	0.13333	0.18303	0.15428	0.14720
../output/v42/reference vs ../output/v42/data/	0.08889	1.02540	0.08889	0.08889	0.08889	0.08598
../output/v48/reference vs ../output/v48/data/	0.00000	0.44643	0.00000	0.00000	-1.00000	-0.00112
../output/v59/reference vs ../output/v59/data/	0.00000	0.64052	0.00000	0.00000	-1.00000	-0.00350
../output/v25/reference vs ../output/v25/data/	0.04744	0.19942	0.20000	0.04744	0.07668	0.07419
../output/v21/reference vs ../output/v21/data/	0.37010	3.05293	0.11667	0.37010	0.17741	0.17141
../output/v30/reference vs ../output/v30/data/	0.01818	0.08667	0.20000	0.01818	0.03333	0.03237
../output/v34/reference vs ../output/v34/data/	0.06000	0.14000	0.30000	0.06000	0.10000	0.09929
../output/v67/reference vs ../output/v67/data/	0.13294	0.39881	0.25000	0.13294	0.17358	0.17160
../output/v69/reference vs ../output/v69/data/	0.02000	0.46222	0.05000	0.02000	0.02857	0.02712
../output/v58/reference vs ../output/v58/data/	0.16410	0.79936	0.17778	0.16410	0.17067	0.16477
../output/v33/reference vs ../output/v33/data/	0.11361	0.66861	0.16364	0.11361	0.13411	0.12753
../output/v38/reference vs ../output/v38/data/	0.22707	1.22428	0.15000	0.22707	0.18066	0.17464
../output/v45/reference vs ../output/v45/data/	0.10794	0.70556	0.16000	0.10794	0.12891	0.12658
../output/v61/reference vs ../output/v61/data/	0.09524	0.56048	0.13333	0.09524	0.11111	0.10521
../output/v44/reference vs ../output/v44/data/	0.02000	0.31667	0.06667	0.02000	0.03077	0.02897
../output/v40/reference vs ../output/v40/data/	0.03333	0.75667	0.03333	0.03333	0.03333	0.03109
../output/v35/reference vs ../output/v35/data/	0.24219	1.59188	0.14444	0.24219	0.18096	0.17220
../output/v68/reference vs ../output/v68/data/	0.32000	2.21000	0.12727	0.32000	0.18211	0.17903
../output/v53/reference vs ../output/v53/data/	0.40000	1.85000	0.20000	0.40000	0.26667	0.26245
../output/v47/reference vs ../output/v47/data/	0.04000	0.56000	0.06667	0.04000	0.05000	0.04835
../output/v39/reference vs ../output/v39/data/	0.06172	0.59205	0.10000	0.06172	0.07633	0.07457
../output/v54/reference vs ../output/v54/data/	0.11429	0.79000	0.13333	0.11429	0.12308	0.12115
../output/v70/reference vs ../output/v70/data/	0.24000	1.02000	0.20000	0.24000	0.21818	0.21523
../output/v52/reference vs ../output/v52/data/	0.11944	0.63532	0.16667	0.11944	0.13916	0.13742
../output/v63/reference vs ../output/v63/data/	0.08214	1.03214	0.07500	0.08214	0.07841	0.07530
../output/v60/reference vs ../output/v60/data/	0.27238	0.84690	0.24444	0.27238	0.25766	0.25379
../output/v26/reference vs ../output/v26/data/	0.12262	1.18690	0.13000	0.12262	0.12620	0.12233
../output/v50/reference vs ../output/v50/data/	0.18444	1.27111	0.14000	0.18444	0.15918	0.15623
../output/v51/reference vs ../output/v51/data/	0.10833	0.45357	0.20000	0.10833	0.14054	0.13850
